"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.362098138748","175.344129554656","168.781911013858","163.267359946327","164.559014267185","145.072879516204","140.391108618306","133.230771421249","132.794291274023","132.430929795173","145.050280144237","141.042626734626","139.972309491093","139.110149824701","137.556575933708","135.464654677581","154.437786862887","156.645197205944","161.891280319633","162.88205210123","145.833663297637","142.239763387132","143.804295515015","145.213552350892","145.343572735289","124.137267233697","147.01557711516","172.884171676527","169.798282615057","",
"Africa Eastern and Southern","AFE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2304388144148","39.7347280580705","40.409427247211","42.8268660661545","45.3429552451368","47.4089364062242","47.101501917544","44.9825563956835","46.586205637567","44.824936211974","46.4662178022745","47.8537819872049","59.4248200763606","56.7923043760341","57.8340561839181","60.351366443884","60.8634263148316","66.8260113985661","74.4161999428254","63.7968822020446","63.4781604569498","64.6383588202019","62.4450392862919","62.5877608110382","61.0154620503414","55.5972237458378","52.891642797385","52.6203405929284","55.5470136195262","52.609045435017","50.3840532381096","55.6440943321239","58.6422872783484","56.9985827061445","54.1174075589112",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7098945514103","51.4117163747271","72.8854696086536","67.5846651516385","",
"Africa Western and Central","AFW","Trade (% of GDP)","NE.TRD.GNFS.ZS","33.0232600987629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.301742600149","103.901229551372","103.579947051466","106.590962129525","94.6251593320477","108.060067893978","121.364708453698","122.446144139295","104.123635308845","99.9825063313368","91.8000973419114","86.8119327587926","79.3329227828897","62.8885160890192","53.3701580675988","52.2568222278462","66.3780133263399","57.8295381183036","65.9420289329872","74.4644985871074","69.6910705054094","67.00179327992","62.2959187659368",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","47.4940925041872","46.1004662837047","44.8105616083383","40.4106676033234","38.1156830212927","35.9348239721958","31.637304878056","32.159563916938","36.89787073527","40.066086463479","39.4369634031142","36.0705200632829","108.785472241159","80.518332770413","53.1025847356112","40.1386989518314","44.4117820054663","44.7293780649181","47.1306266993222","49.8954184095195","61.6092610436407","64.2474462587009","65.9914650336802","64.8232150960777","65.0379383187697","69.1162926602322","72.2019089483674","79.9119008919954","75.2485472798728","73.3213575646169","75.5325329687378","80.6989985298954","76.9683583166821","75.7506185619748","75.0212023084129","71.2794476606014","74.0144504546815","76.7873817898989","75.6940783717425","75.382128932689","59.5207118897718","75.5903217283122","84.6980571024438","82.4936825596994","79.0707597666191",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","59.803601264584","60.32864064962","63.1549342179207","83.3299082158573","74.6763704953696","83.3351028786331","77.1995049757399","81.6393684906978","79.7766595950124","82.1065520191407","86.3580461199541","88.097166479986","83.8390719627994","75.6411334810193","71.9677619564653","64.5159503316478","56.867333958745","59.1055196285369","61.0861525150841","65.8896757948273","64.4659893231962","68.0462110972309","63.2233282408703","59.0764854604443","57.6328654261861","61.2393921038287","60.7101284349303","68.7857996487653","67.2894006664274","67.3132185478974","72.0132013903781","73.2257874878296","73.5196699691836","80.1785790851094","84.5068077172055","88.6457164514443","88.9408719600555","92.9395640965946","96.7573478237637","88.7840499830423","85.9001521918565","88.7504086450893","90.2587169143265","89.2979576378163","87.1740681047132","82.4441423153166","76.8612083722648","80.2510490338559","80.59966491976","79.9851696130323","75.0892219724699","79.927415460136","87.2777226969785","86.7923295652316","",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622612523831","119.552871642254","119.470669577786","136.798152865771","148.513544025723","153.461944358373","138.892096911897","147.392662018666","159.970470619225","161.100482455585","163.687585001674","169.476236698198","170.976829168197","170.92080687494","159.642777281025","170.068118822018","185.280552445405","186.108932605683","188.945461748684","202.332536002327","",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.4926603729179","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846242519","16.942286567935","14.3237963724369","12.8406846411368","11.5456724606844","14.2929774788834","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588891","14.730980586353","16.223151447784","18.1343458669981","19.7714230903755","21.5064684057215","23.3361788437439","23.3500279730689","21.3827449624898","22.6224447777343","21.8522554515453","41.7527243585642","40.6447480311085","40.692646108947","40.5512709706238","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4067936452275","22.4862260889792","26.0938878488799","25.2896011376779","30.7625359549926","32.6306150458499","30.203698807416","33.078689567466","31.5477080051071","26.6405121334437","28.1594014348782",
"Armenia","ARM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3357185450209","100.865855188857","101.076759405526","107.973146280234","112.429364602262","86.1148570667578","79.2295601199241","78.5477450545048","71.8424518815414","70.5604791440404","72.2333302273367","69.8642663925336","73.9845018432309","80.0513676022426","73.0706339919371","70.1397385835334","61.0301379818566","56.9750470853147","54.5423279613666","57.2742357441995","64.642975973633","69.4355736620453","75.9616759606704","77.5550481598824","75.778866962639","71.6820743427575","76.0779674593548","87.202376539837","92.473107021212","96.1141541288708","69.4888075396076","79.6698888228399","101.41077826094","119.714642963872","152.14022908423",
"American Samoa","ASM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.9375","207.442748091603","202.357563850688","223.2","229.817444219067","218.146718146718","249.821428571429","161.333333333333","157.940663176265","157.543859649123","176.40625","173.824451410658","174.805598755832","162.407132243685","159.165424739195","161.437908496732","171.830985915493","156.568778979907","154.368932038835","136.8","124.684270952928","","",
"Antigua and Barbuda","ATG","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141.546161057996","130.071549851721","132.025917905085","127.664323582144","130.655152659419","137.537783631991","94.289529886499","101.074960584779","117.703527768353","","",
"Australia","AUS","Trade (% of GDP)","NE.TRD.GNFS.ZS","27.0073432045263","27.3798008534851","26.5276294339198","26.7924920709198","28.6527692814456","28.4383892385962","28.0154205799122","26.7319083183106","26.7383340751138","25.2457715088233","26.152929063025","25.5542070195428","24.7575648738439","25.1314680261732","26.3224160495668","28.9701919838329","26.8629497654441","28.6305285588067","28.1775002617577","29.6236726651116","32.2982750679721","31.6034392228931","30.3246900943933","29.1752457579693","28.5400083297066","32.4883334819514","33.0085289889794","32.5101443607132","32.5649604722381","32.0650048875855","32.1527144597396","32.1891884083095","33.0445567945568","35.3995349245547","36.4588088303684","37.7040452075846","38.2330533547335","37.9808322779409","39.9927024641912","39.0297954188357","40.9352109785505","44.2187044989977","41.4490922022193","40.2015669125448","37.0096135930442","39.1607469727979","41.5594471705758","42.0080200326348","42.8467764017331","45.7408630288694","40.5215889941287","41.851132029052","43.1642964994556","41.2728790174276","42.4840230270994","41.6639319280984","40.974079475775","42.2037316765804","43.7360650798433","46.1875018936291","44.6644560654359","40.3024802691697","45.8217702307271","49.2251840594381","47.3142290131289",
"Austria","AUT","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","55.0761193245758","54.5943095175992","54.5095261285031","54.6709598898345","59.8019696552993","56.8216966374891","60.1518898060928","60.5146252146455","59.902619239337","63.5662000173728","67.0877814373936","68.665503986782","64.3692403970828","62.717843835786","66.8367975275057","70.3587487563186","64.2663207365524","63.1008818390388","66.8242938143518","70.8157362192816","71.769481946408","70.3238566862819","67.8961088248008","63.5138270434354","66.246573910845","68.5250057529972","70.4693162982812","75.2444760305554","77.3495216604118","78.5629329772961","85.8426077336549","87.9962567186047","87.5844937054619","86.8822263228608","91.4742201880009","94.6747547827805","98.7857253161241","101.36495843546","102.7437043613","87.6004931021953","99.6448825546716","105.775098372378","105.840791389706","104.985374015367","104.49673998926","103.11758174626","101.573494597172","105.556066755438","108.377969971828","108.207284904426","99.9482141095975","111.032268737901","124.38345148483","116.813919411879","110.535462439764",
